Gender,City,Main language at work,Company size,Company type,Seniority level,Position (without seniority),Your main technology / programming language,Number of vacation days,Сontract duration,Company business sector,Position,Other technologies/programming languages you use often,Employment status,Age,Number of home office days per month,Yearly salary,Years of experience total,cluster
Male,Munich,English,50-100,Product,Middle,DevOps,Other,27.0,unlimited,IT,0,0,0,25.0 - 30.0,0.0 - 36.0,80000.0,9.0 - 10.0,1
Male,Munich,English,100-1000,Consulting / Agency,Senior,Backend Developer,Java,30.0,more than 1 year,Сommerce,0,0,0,25.0 - 30.0,0.0 - 36.0,70000.0,4.0 - 5.0,3
Male,Berlin,English,100-1000,Product,Senior,Backend Developer,Java,30.0,unlimited,Other,0,0,0,35.0 - 40.0,0.0 - 36.0,73000.0,nan,3
Male,Berlin,English,10-50,Startup,Senior,Fullstack Developer,Python,30.0,unlimited,Сommerce,0,0,0,30.0 - 35.0,0.0 - 36.0,64000.0,8.0 - 9.0,0
Male,Munich,English,50-100,Product,Middle,QA,Ruby,30.0,unlimited,Finance / Insurance,0,0,0,25.0 - 30.0,0.0 - 36.0,58000.0,2.0 - 3.0,4
Male,Munich,English,100-1000,Product,Junior,Fullstack Developer,Java,28.0,unlimited,Scientific Activities,0,0,0,25.0 - 30.0,0.0 - 36.0,60000.0,1.0 - 2.0,0
Female,Berlin,English,1000+,Product,Senior,Backend Developer,.NET,30.0,1 year,Finance / Insurance,0,0,0,30.0 - 35.0,0.0 - 36.0,96000.0,nan,7
Male,Munich,English,100-1000,Product,Senior,Backend Developer,Ruby,Other,unlimited,0,0,0,0,25.0 - 30.0,0.0 - 36.0,55000.0,9.0 - 10.0,4
Male,Munich,English,1000+,Product,Middle,QA,Python,30.0,unlimited,IT,0,0,0,25.0 - 30.0,0.0 - 36.0,65000.0,5.0 - 6.0,0
Male,Munich,English,1000+,Product,Middle,DevOps,Other,30.0,unlimited,Transport,0,0,0,25.0 - 30.0,0.0 - 36.0,80000.0,9.0 - 10.0,1
Male,Berlin,English,1000+,0,Middle,Mobile Developer,Swift,25.0,unlimited,0,0,0,0,30.0 - 35.0,0.0 - 36.0,66000.0,6.0 - 7.0,0
Male,Berlin,English,50-100,Product,Senior,Frontend Developer,Javascript / Typescript,Other,unlimited,Сommerce,0,0,0,30.0 - 35.0,0.0 - 36.0,72000.0,nan,3
Male,Berlin,English,1000+,Startup,Middle,DevOps,Other,28.0,unlimited,Other,0,0,0,35.0 - 40.0,0.0 - 36.0,67000.0,6.0 - 7.0,0
Male,Munich,Deutsch,100-1000,Product,Senior,Backend Developer,PHP,30.0,unlimited,Finance / Insurance,0,0,0,35.0 - 40.0,0.0 - 36.0,70000.0,nan,3
Female,Munich,English,1000+,Product,Middle,QA,Java,Other,unlimited,Finance / Insurance,0,0,0,0.0 - 5.0,0.0 - 36.0,62000.0,4.0 - 5.0,0
Male,Berlin,English,100-1000,Product,Senior,QA,Java,30.0,unlimited,Other,0,0,0,25.0 - 30.0,0.0 - 36.0,67500.0,8.0 - 9.0,0
Male,Berlin,English,100-1000,Startup,Senior,QA,Java,28.0,unlimited,Finance / Insurance,0,0,0,30.0 - 35.0,0.0 - 36.0,75000.0,7.0 - 8.0,3
Male,Frankfurt,Other,10-50,Consulting / Agency,Middle,Other,Other,30.0,unlimited,Finance / Insurance,0,0,0,30.0 - 35.0,0.0 - 36.0,56300.0,9.0 - 10.0,4
Male,Berlin,English,1000+,Product,Lead,Backend Developer,Java,30.0,unlimited,Other,0,0,0,35.0 - 40.0,0.0 - 36.0,89570.0,nan,7
Female,Berlin,English,50-100,Startup,Middle,Other,0,Other,0,0,0,0,0,0.0 - 5.0,0.0 - 36.0,60000.0,2.0 - 3.0,0
Male,Berlin,English,100-1000,Product,Middle,Manager,0,27.0,unlimited,Other,0,0,0,25.0 - 30.0,0.0 - 36.0,52000.0,1.0 - 2.0,4
Female,Hamburg,Deutsch,100-1000,Product,Middle,Backend Developer,Ruby,28.0,unlimited,Finance / Insurance,0,0,0,35.0 - 40.0,0.0 - 36.0,55000.0,1.0 - 2.0,4
Male,Berlin,English,10-50,0,Senior,Manager,Python,30.0,unlimited,Сommerce,0,0,0,35.0 - 40.0,0.0 - 36.0,95000.0,nan,7
Male,Berlin,English,10-50,Product,Senior,Backend Developer,.NET,25.0,unlimited,Сommerce,0,0,0,30.0 - 35.0,0.0 - 36.0,60000.0,9.0 - 10.0,0
Male,Berlin,English,100-1000,Product,Middle,Frontend Developer,Javascript / Typescript,28.0,unlimited,0,0,0,0,25.0 - 30.0,0.0 - 36.0,56500.0,6.0 - 7.0,4
Male,Berlin,English,50-100,Product,Senior,Backend Developer,PHP,28.0,unlimited,Сommerce,0,0,0,30.0 - 35.0,0.0 - 36.0,68000.0,nan,3
